source,file,path,year,month,date
Sentinel-2,sentinel2_monthly_2024_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_05.tif,2024,5,2024-05-01
Sentinel-2,sentinel2_monthly_2024_06.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_06.tif,2024,6,2024-06-01
Sentinel-2,sentinel2_monthly_2024_07.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_07.tif,2024,7,2024-07-01
Sentinel-2,sentinel2_monthly_2024_08.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_08.tif,2024,8,2024-08-01
Sentinel-2,sentinel2_monthly_2024_09.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_09.tif,2024,9,2024-09-01
Sentinel-2,sentinel2_monthly_2024_10.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_10.tif,2024,10,2024-10-01
Sentinel-2,sentinel2_monthly_2024_11.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_11.tif,2024,11,2024-11-01
Sentinel-2,sentinel2_monthly_2024_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_12.tif,2024,12,2024-12-01
Sentinel-2,sentinel2_monthly_2025_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_01.tif,2025,1,2025-01-01
Sentinel-2,sentinel2_monthly_2025_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_02.tif,2025,2,2025-02-01
Sentinel-2,sentinel2_monthly_2025_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_03.tif,2025,3,2025-03-01
Sentinel-2,sentinel2_monthly_2025_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_04.tif,2025,4,2025-04-01
Sentinel-2,sentinel2_monthly_2025_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_05.tif,2025,5,2025-05-01
Sentinel-2,sentinel2_monthly_2025_06.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_06.tif,2025,6,2025-06-01
Sentinel-2,sentinel2_monthly_2025_07.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_07.tif,2025,7,2025-07-01
Sentinel-2,sentinel2_monthly_2025_08.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_08.tif,2025,8,2025-08-01
Sentinel-2,sentinel2_monthly_2025_09.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_09.tif,2025,9,2025-09-01
Sentinel-2,sentinel2_monthly_2025_10.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_10.tif,2025,10,2025-10-01
Sentinel-2,sentinel2_monthly_2025_11.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_11.tif,2025,11,2025-11-01
Sentinel-2,sentinel2_monthly_2025_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2025_12.tif,2025,12,2025-12-01
Sentinel-2,sentinel2_monthly_2026_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2026_01.tif,2026,1,2026-01-01
Sentinel-2,sentinel2_monthly_2026_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2026_02.tif,2026,2,2026-02-01
Sentinel-2,sentinel2_monthly_2026_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2026_03.tif,2026,3,2026-03-01
Sentinel-2,sentinel2_monthly_2026_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2026_04.tif,2026,4,2026-04-01
Sentinel-2,sentinel2_monthly_2026_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2026_05.tif,2026,5,2026-05-01
